install_order	package	version	url	sha256
1	brio	1.1.5	https://cran.r-project.org/src/contrib/brio_1.1.5.tar.gz	a9f22335ea39039de25bb27bccd5ff1ffb2b743579b31d150b6b91c9ea81d0b8
2	cli	3.6.6	https://cran.r-project.org/src/contrib/cli_3.6.6.tar.gz	b2b58d6dd82f5798b335e39c00591686a01fd3e94399ef898e146173e36f18f9
3	crayon	1.5.3	https://cran.r-project.org/src/contrib/crayon_1.5.3.tar.gz	3e74a0685541efb5ea763b92cfd5c859df71c46b0605967a0b5dbb7326e9da69
4	evaluate	1.0.5	https://cran.r-project.org/src/contrib/evaluate_1.0.5.tar.gz	47aac79f889a828a5f8b4756cb972d7c2966bb984cbae17a4bd2389a73270794
5	fs	2.1.0	https://cran.r-project.org/src/contrib/fs_2.1.0.tar.gz	7088af1117d65c4ceb144b532e323f197fc8243b1d704bf6edf40774789829cd
6	glue	1.8.1	https://cran.r-project.org/src/contrib/glue_1.8.1.tar.gz	1c55905d3efc3d5c199ceb0bd12218e97f0d4c64df6038ff41ecef415478a122
7	jsonlite	2.0.0	https://cran.r-project.org/src/contrib/jsonlite_2.0.0.tar.gz	75eb910c82b350ec33f094779da0f87bff154c232e4ae39c9896a9b89f3ac82d
8	magrittr	2.0.5	https://cran.r-project.org/src/contrib/magrittr_2.0.5.tar.gz	3f5b5b1d4e6d12807a95c50b6c88cb1d8af2c5eb5213f08bfe58f278eca2ed23
9	otel	0.2.0	https://cran.r-project.org/src/contrib/otel_0.2.0.tar.gz	ef8afe5a1bc8074bbeb8a84134699ef348a1f8ac629ffba25ee43ea7bcd8dd17
10	praise	1.0.0	https://cran.r-project.org/src/contrib/praise_1.0.0.tar.gz	5c035e74fd05dfa59b03afe0d5f4c53fbf34144e175e90c53d09c6baedf5debd
11	ps	1.9.3	https://cran.r-project.org/src/contrib/ps_1.9.3.tar.gz	7b227f0627709a2073daf960ac612a0b87d03e18f7dd5c1938048ed440ef2e68
12	R6	2.6.1	https://cran.r-project.org/src/contrib/R6_2.6.1.tar.gz	59c6eba8b1b912eb7e104f65053235604be853425ee67c152ac4e86a1f2073b4
13	rlang	1.2.0	https://cran.r-project.org/src/contrib/Archive/rlang/rlang_1.2.0.tar.gz	8f808ad4f6c1ba37d81b6a4a2cdb4a7d4d30d5bee4ba3e9924352d85a3874357
14	rprojroot	2.1.1	https://cran.r-project.org/src/contrib/rprojroot_2.1.1.tar.gz	473989bbef45fd9cd68f68dc317b14c9f42de5cea4b55fd6ba9011f25e0517e9
15	withr	3.0.3	https://cran.r-project.org/src/contrib/withr_3.0.3.tar.gz	d86c6454164fc85678bfc85e2a6cce42f7461d45fa9a87de71f376e7956c991e
16	processx	3.9.0	https://cran.r-project.org/src/contrib/processx_3.9.0.tar.gz	cdfef9035405891d8b104b258a40f62656f215aba7dcdc9f3226203c4c8fb354
17	callr	3.8.0	https://cran.r-project.org/src/contrib/callr_3.8.0.tar.gz	a16b50e41ddbbf2bac236572e3e68c4ef9c76b88faf5cf840c79524c49000b06
18	desc	1.4.3	https://cran.r-project.org/src/contrib/desc_1.4.3.tar.gz	54468da73dd78fc9e7c565c41cfe3331802c2134b2e61a9ad197215317092f26
19	diffobj	0.3.6	https://cran.r-project.org/src/contrib/Archive/diffobj/diffobj_0.3.6.tar.gz	b316d9c37177b19ce7f39ba32872d09ab600909709fd313c1e39398a4ae51287
20	lifecycle	1.0.5	https://cran.r-project.org/src/contrib/lifecycle_1.0.5.tar.gz	61841e3e6edba056a88355a3f1d6698ab8d5d9cb3c05f2af0ec5a44ab516f8ee
21	waldo	0.6.2	https://cran.r-project.org/src/contrib/waldo_0.6.2.tar.gz	b22a746be625eec49736d2a0a18d96c45c14d97e30e42bc81a0740f3194e07fa
22	pkgbuild	1.4.8	https://cran.r-project.org/src/contrib/pkgbuild_1.4.8.tar.gz	2e4259202ce90fc452f31ff36cfe14ff21a38e9fd71c3015e25018b9079924cb
23	pkgload	1.5.3	https://cran.r-project.org/src/contrib/pkgload_1.5.3.tar.gz	5e539f91ca36b8ed80933101baf2a57462b9342c68556f5d4dcb86c01639df28
24	testthat	3.3.2	https://cran.r-project.org/src/contrib/testthat_3.3.2.tar.gz	5d2e2fa2c3dcb523afb6898c02be9544c24c1c7e0789149c436fef768a409808
